    INFO: 2025-04-01 19:20:41,411:               log.py:   20: Logging to C:\Users\ADMIN\exam-generator\mdpdf.log
   DEBUG: 2025-04-01 19:20:41,556:      pdf_renderer.py:  470: printSegment: [
   DEBUG: 2025-04-01 19:20:41,557:      pdf_renderer.py:  470: printSegment:  
   DEBUG: 2025-04-01 19:20:41,558:      pdf_renderer.py:  470: printSegment: ]
   DEBUG: 2025-04-01 19:20:41,559:      pdf_renderer.py:  470: printSegment:  3.50
   DEBUG: 2025-04-01 19:20:41,566:      pdf_renderer.py:  470: printSegment: 10.   What is the solution for x in the equation 2x + 3 = 11?
   DEBUG: 2025-04-01 19:20:41,566:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2025-04-01 19:20:41,567:      pdf_renderer.py:  470: printSegment: [
   DEBUG: 2025-04-01 19:20:41,568:      pdf_renderer.py:  470: printSegment:  
   DEBUG: 2025-04-01 19:20:41,568:      pdf_renderer.py:  470: printSegment: ]
   DEBUG: 2025-04-01 19:20:41,569:      pdf_renderer.py:  470: printSegment:  4
   DEBUG: 2025-04-01 19:20:41,569:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2025-04-01 19:20:41,569:      pdf_renderer.py:  470: printSegment: [
   DEBUG: 2025-04-01 19:20:41,570:      pdf_renderer.py:  470: printSegment:  
   DEBUG: 2025-04-01 19:20:41,570:      pdf_renderer.py:  470: printSegment: ]
   DEBUG: 2025-04-01 19:20:41,571:      pdf_renderer.py:  470: printSegment:  3
   DEBUG: 2025-04-01 19:20:41,571:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2025-04-01 19:20:41,571:      pdf_renderer.py:  470: printSegment: [
   DEBUG: 2025-04-01 19:20:41,572:      pdf_renderer.py:  470: printSegment:  
   DEBUG: 2025-04-01 19:20:41,572:      pdf_renderer.py:  470: printSegment: ]
   DEBUG: 2025-04-01 19:20:41,573:      pdf_renderer.py:  470: printSegment:  5
   DEBUG: 2025-04-01 19:20:41,573:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2025-04-01 19:20:41,574:      pdf_renderer.py:  470: printSegment: [
   DEBUG: 2025-04-01 19:20:41,574:      pdf_renderer.py:  470: printSegment:  
   DEBUG: 2025-04-01 19:20:41,575:      pdf_renderer.py:  470: printSegment: ]
   DEBUG: 2025-04-01 19:20:41,575:      pdf_renderer.py:  470: printSegment:  6
